Title: The Late-Time Light Curves of Type Ia Supernovae: Confronting Models with Observations
Authors: Vishal Tiwari, Or Graur, Robert Fisher, Ivo Seitenzahl, Shing-Chi Leung, Ken’ichi Nomoto, Hagai Binyamin Perets, Ken Shen
Table: ni56, 57/56, 55/56, metallicity, other parameters of simulation models.
================================================================================
Byte-by-byte Description of file: datafile.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label                Explanations
--------------------------------------------------------------------------------
   1- 19 A19    ---       Model-Dataset        Name of the dataset
  21- 45 A25    ---       Explosion-Mechanism  Explosion Mechanism
  47- 54 A8     solMass   Ni56                 Ni56 Yield (in solar mass)
  56- 63 A8     ---       57/56                Ratio of 57 nuclides to Ni56
  65- 72 A8     ---       55/56                Ratio of 55 nuclides to Ni56
  74- 77 F4.2   [Sun]     Z                    Progenitor metallicity
  79-177 A99    ---       Other-Parameters     Other parameters, eg - progenitor central density, WD masses, detonation parameters, bubble offset, etc.
--------------------------------------------------------------------------------
--------------------------------------------------------------------------------
Leung+Nomoto, 2020  sub-MCh-Double DET        1.70e-01 2.00e-02 2.09e-03 1.00 2.26e7 g/cm^3 - 0.95 - 0.05 - Belt(Ring) He Det 50 km - Leung+Nomoto                                               
Leung+Nomoto, 2020  sub-MCh-Double DET        6.00e-01 2.67e-02 1.10e-03 1.00 6.17e7 g/cm^3 - 1.1 - 0.1 - Spherical He Det 50km - Leung+Nomoto                                                   
Leung+Nomoto, 2020  sub-MCh-Double DET        4.64e-01 5.66e-02 6.77e-03 5.00 6.17e7 g/cm^3 - 1.1 - 0.1 - Spherical He Det 50km - Leung+Nomoto                                                   
Leung+Nomoto, 2020  sub-MCh-Double DET        6.00e-01 2.67e-02 1.10e-03 1.00 3.21e7 g/cm^3 - 1.0 - 0.05 - Spherical He Det 50 km - Leung+Nomoto                                                 
Leung+Nomoto, 2020  sub-MCh-Double DET        5.82e-01 4.33e-02 2.23e-03 2.00 6.17e7 g/cm^3 - 1.1 - 0.1 - 50km - Leung+Nomoto                                                                    
Leung+Nomoto, 2020  sub-MCh-Double DET        3.52e-01 3.21e-02 2.26e-03 1.00 3.21e7 g/cm^3 - 1.0 - 0.10 - Single He Det - Leung+Nomoto                                                          
Leung+Nomoto, 2020  sub-MCh-Double DET        5.29e-01 5.89e-02 6.33e-03 5.00 6.17e7 g/cm^3 - 1.1 - 0.1 - Belt(Ring) He Det 50km - Leung+Nomoto                                                  
Leung+Nomoto, 2020  sub-MCh-Double DET        5.55e-01 5.12e-02 3.46e-03 3.00 6.17e7 g/cm^3 - 1.1 - 0.1 - 50km - Leung+Nomoto                                                                    
Leung+Nomoto, 2020  sub-MCh-Double DET        6.69e-01 2.39e-02 1.46e-03 0.10 6.17e7 g/cm^3 - 1.1 - 0.1 - 50km - Leung+Nomoto                                                                    
Leung+Nomoto, 2020  sub-MCh-Double DET        7.21e-01 1.75e-02 3.39e-04 0.10 6.17e7 g/cm^3 - 1.1 - 0.1 - Belt(Ring) He Det 50km - Leung+Nomoto                                                  
Leung+Nomoto, 2020  sub-MCh-Double DET        5.64e-01 3.90e-02 1.66e-03 2.00 6.17e7 g/cm^3 - 1.1 - 0.1 - Spherical He Det 50km - Leung+Nomoto                                                   
Leung+Nomoto, 2020  sub-MCh-Double DET        7.25e-01 1.60e-02 2.46e-04 0.00 6.17e7 g/cm^3 - 1.1 - 0.1 - Belt(Ring) He Det 50km - Leung+Nomoto                                                  
Leung+Nomoto, 2020  sub-MCh-Double DET        5.13e-01 6.44e-02 7.06e-03 5.00 6.17e7 g/cm^3 - 1.1 - 0.1 - 50km - Leung+Nomoto                                                                    
Leung+Nomoto, 2020  sub-MCh-Double DET        4.93e-01 3.33e-02 2.14e-03 1.00 4.33e7 g/cm^3 - 0.9 - 0.10 - Single He Det - Leung+Nomoto                                                          
Leung+Nomoto, 2020  sub-MCh-Double DET        3.58e-02 4.19e-02 4.44e-03 1.00 1.67e7 g/cm^3 - 0.9 - 0.05 - Belt(Ring) He Det 50 km - Leung+Nomoto                                                
Leung+Nomoto, 2020  sub-MCh-Double DET        7.40e-01 2.58e-02 5.32e-04 1.00 4.33e7 g/cm^3 - 1.05 - 0.05 - Spherical He Det 50 km - Leung+Nomoto                                                
Leung+Nomoto, 2020  sub-MCh-Double DET        4.68e-01 2.65e-02 1.24e-03 1.00 4.33e7 g/cm^3 - 1.05 - 0.05 - Belt(Ring) He Det 50 km - Leung+Nomoto                                               
Leung+Nomoto, 2020  sub-MCh-Double DET        1.38e-01 4.58e-02 7.08e-03 1.00 1.67e7 g/cm^3 - 0.9 - 0.15 - Single He Det - Leung+Nomoto                                                          
Leung+Nomoto, 2020  sub-MCh-Double DET        6.84e-01 2.78e-02 6.69e-04 1.00 6.17e7 g/cm^3 - 1.1 - 0.1 - Belt(Ring) He Det 50km - Leung+Nomoto                                                  
Leung+Nomoto, 2020  sub-MCh-Double DET        3.17e-01 3.51e-02 2.81e-03 1.00 2.26e7 g/cm^3 - 0.95 - 0.15 - Single He Det - Leung+Nomoto                                                         
Leung+Nomoto, 2020  sub-MCh-Double DET        8.26e-01 3.29e-02 1.73e-03 1.00 14.7e7 g/cm^3 - 1.2 - 0.05 - Single He Det - Leung+Nomoto                                                          
Leung+Nomoto, 2020  sub-MCh-Double DET        9.95e-01 2.83e-02 1.04e-03 1.00 14.7e7 g/cm^3 - 1.2 - 0.05 - Belt(Ring) He Det 50 km - Leung+Nomoto                                                
Leung+Nomoto, 2020  sub-MCh-Double DET        6.42e-01 1.52e-02 3.04e-04 0.00 6.17e7 g/cm^3 - 1.1 - 0.1 - Spherical He Det 50km - Leung+Nomoto                                                   
Leung+Nomoto, 2020  sub-MCh-Double DET        6.20e-01 2.13e-02 1.05e-03 0.50 6.17e7 g/cm^3 - 1.1 - 0.1 - Spherical He Det 50km - Leung+Nomoto                                                   
Leung+Nomoto, 2020  sub-MCh-Double DET        6.60e-01 4.19e-02 1.80e-03 3.00 6.17e7 g/cm^3 - 1.1 - 0.1 - Belt(Ring) He Det 50km - Leung+Nomoto                                                  
Leung+Nomoto, 2020  sub-MCh-Double DET        6.80e-01 3.11e-02 1.77e-03 1.00 6.17e7 g/cm^3 - 1.1 - 0.10 - Single He Det - Leung+Nomoto                                                          
Leung+Nomoto, 2020  sub-MCh-Double DET        1.51e-02 3.66e-02 1.50e-02 1.00 1.67e7 g/cm^3 - 0.9 - 0.05 - Spherical He Det 50 km - Leung+Nomoto                                                 
Leung+Nomoto, 2020  sub-MCh-Double DET        8.17e-01 2.80e-02 5.24e-04 1.00 6.17e7 g/cm^3 - 1.1 - 0.05 - Spherical He Det 50 km - Leung+Nomoto                                                 
Leung+Nomoto, 2020  sub-MCh-Double DET        6.45e-01 3.74e-02 1.08e-03 2.00 6.17e7 g/cm^3 - 1.1 - 0.1 - Belt(Ring) He Det 50km - Leung+Nomoto                                                  
Leung+Nomoto, 2020  sub-MCh-Double DET        6.00e-01 2.67e-02 1.97e-03 1.00 3.21e7 g/cm^3 - 1.0 - 0.05 - Belt(Ring) He Det 50 km - Leung+Nomoto                                                
Leung+Nomoto, 2020  sub-MCh-Double DET        6.38e-01 2.51e-02 4.38e-04 0.10 6.17e7 g/cm^3 - 1.1 - 0.1 - Spherical He Det 50km - Leung+Nomoto                                                   
Leung+Nomoto, 2020  sub-MCh-Double DET        5.31e-01 4.36e-02 3.39e-03 3.00 6.17e7 g/cm^3 - 1.1 - 0.1 - Spherical He Det 50km - Leung+Nomoto                                                   
Leung+Nomoto, 2020  sub-MCh-Double DET        4.52e-01 2.52e-02 1.75e-03 1.00 2.26e7 g/cm^3 - 0.95 - 0.05 - Spherical He Det 50 km - Leung+Nomoto                                                
Leung+Nomoto, 2020  sub-MCh-Double DET        7.40e-01 2.12e-02 4.93e-04 0.50 6.17e7 g/cm^3 - 1.1 - 0.1 - Belt(Ring) He Det 50km - Leung+Nomoto                                                  
Leung+Nomoto, 2020  sub-MCh-Double DET        6.84e-01 2.78e-02 6.69e-04 1.00 6.17e7 g/cm^3 - 1.1 - 0.05 - Belt(Ring) He Det 50 km - Leung+Nomoto                                                
Leung+Nomoto, 2017  near-MCh-DDT              6.96e-01 2.25e-02 5.05e-03 0.00 rho:3e9 g/cm^3 - c3 flame - C/O:1 - Leung+Nomoto                                                                   
Leung+Nomoto, 2017  near-MCh-DDT              5.51e-01 4.80e-02 1.11e-02 3.00 rho:3e9 g/cm^3 - c3 flame - C/O:1 - Leung+Nomoto                                                                   
Leung+Nomoto, 2017  near-MCh-DDT              6.50e-01 2.83e-02 6.51e-03 0.50 rho:3e9 g/cm^3 - c3 flame - C/O:1 - Leung+Nomoto                                                                   
Leung+Nomoto, 2017  near-MCh-DDT              6.75e-01 2.38e-02 9.78e-03 0.00 rho:5e9 g/cm^3 - c3 flame - C/O:1 - Leung+Nomoto                                                                   
Leung+Nomoto, 2017  near-MCh-DDT              5.60e-01 4.30e-02 1.15e-02 2.00 rho:5e9 g/cm^3 - c3 flame - C/O:1 - Leung+Nomoto                                                                   
Leung+Nomoto, 2017  near-MCh-DDT              4.70e-01 5.48e-02 1.90e-02 5.00 rho:5e9 g/cm^3 - c3 flame - C/O:1 - Leung+Nomoto                                                                   
Leung+Nomoto, 2017  near-MCh-DDT              6.69e-01 2.52e-02 9.80e-03 0.10 rho:5e9 g/cm^3 - c3 flame - C/O:1 - Leung+Nomoto                                                                   
Leung+Nomoto, 2017  near-MCh-DDT              6.27e-01 3.30e-02 7.36e-03 1.00 rho:3e9 g/cm^3 - c3 flame - C/O:1 - Leung+Nomoto                                                                   
Leung+Nomoto, 2017  near-MCh-DDT              6.89e-01 2.39e-02 5.42e-03 0.10 rho:3e9 g/cm^3 - c3 flame - C/O:1 - Leung+Nomoto                                                                   
Leung+Nomoto, 2017  near-MCh-DDT              7.24e-01 2.99e-02 3.74e-03 1.00 rho:1e9 g/cm^3 - c3 flame - C/O:1 - Leung+Nomoto                                                                   
Leung+Nomoto, 2017  near-MCh-DDT              8.38e-01 2.06e-02 2.08e-03 0.10 rho:1e9 g/cm^3 - c3 flame - C/O:1 - Leung+Nomoto                                                                   
Leung+Nomoto, 2017  near-MCh-DDT              4.96e-01 5.87e-02 1.11e-02 5.00 rho:1e9 g/cm^3 - c3 flame - C/O:1 - Leung+Nomoto                                                                   
Leung+Nomoto, 2017  near-MCh-DDT              5.98e-01 3.46e-02 9.77e-03 1.00 rho:5e9 g/cm^3 - c3 flame - C/O:1 - Leung+Nomoto                                                                   
Leung+Nomoto, 2017  near-MCh-DDT              6.38e-01 4.56e-02 6.98e-03 3.00 rho:1e9 g/cm^3 - c3 flame - C/O:1 - Leung+Nomoto                                                                   
Leung+Nomoto, 2017  near-MCh-DDT              6.20e-01 3.00e-02 8.80e-03 0.50 rho:5e9 g/cm^3 - c3 flame - C/O:1 - Leung+Nomoto                                                                   
Leung+Nomoto, 2017  near-MCh-DDT              6.78e-01 3.83e-02 5.12e-03 2.00 rho:1e9 g/cm^3 - c3 flame - C/O:1 - Leung+Nomoto                                                                   
Leung+Nomoto, 2017  near-MCh-DDT              5.87e-01 4.11e-02 9.02e-03 2.00 rho:3e9 g/cm^3 - c3 flame - C/O:1 - Leung+Nomoto                                                                   
Leung+Nomoto, 2017  near-MCh-DDT              7.50e-01 2.51e-02 3.05e-03 0.50 rho:1e9 g/cm^3 - c3 flame - C/O:1 - Leung+Nomoto                                                                   
Leung+Nomoto, 2017  near-MCh-DDT              8.45e-01 1.91e-02 1.77e-03 0.00 rho:1e9 g/cm^3 - c3 flame - C/O:1 - Leung+Nomoto                                                                   
Leung+Nomoto, 2017  near-MCh-DDT              4.38e-01 6.16e-02 1.69e-02 5.00 rho:3e9 g/cm^3 - c3 flame - C/O:1 - Leung+Nomoto                                                                   
Leung+Nomoto, 2017  near-MCh-DDT              5.00e-01 5.00e-02 1.43e-02 3.00 rho:5e9 g/cm^3 - c3 flame - C/O:1 - Leung+Nomoto                                                                   
HESMA               sub-MCh-Pure DET          6.95e-02 2.91e-03 4.01e-04 0.00 rho:1.45e7 g/cm^3 - WD_Mass:0.88 - Sim et al. (2010)                                                               
HESMA               sub-MCh-Pure DET          8.09e-01 9.27e-03 1.29e-04 0.00 rho:7.9e7 g/cm^3 - WD_Mass:1.15 - Sim et al. (2010)                                                                
HESMA               sub-MCh-Pure DET          9.04e-03 4.48e-03 5.42e-04 0.00 rho:1e7 g/cm^3 - WD_Mass:0.81 - Sim et al. (2010)                                                                  
HESMA               sub-MCh-Pure DET          3.01e-01 3.10e-03 2.97e-04 0.00 rho:2.4e7 g/cm^3 - WD_Mass:0.97 - Sim et al. (2010)                                                                
HESMA               sub-MCh-Pure DET          5.59e-01 6.46e-03 1.93e-04 0.00 rho:4.15e7 g/cm^3 - WD_Mass:1.06 - Sim et al. (2010)                                                               
HESMA               sub-MCh-Pure DET          4.34e-01 3.65e-02 2.75e-02 3.00 rho:4.15e7 g/cm^3 - WD_Mass:1.06 - Sim et al. (2010)                                                               
HESMA               sub-MCh-Merger            1.83e-01 9.38e-03 1.50e-02 1.00 rho:1.4e7 g/cm^3 - WD_Masses:0.9+0.76 - Kromer et al. (2013)                                                       
HESMA               sub-MCh-Merger            6.14e-01 2.43e-02 6.08e-03 1.00 rho:not sure - WD_Masses: 0.9+1.1 - Pakmor et al. (2012b)                                                          
HESMA               sub-MCh-Merger            1.24e-01 2.81e-03 4.23e-04 0.00 rho:1.4e7 g/cm^3 - WD_Masses: 0.89+0.89 - Pakmor et al. (2010)                                                     
HESMA               sub-MCh-Merger            1.97e-01 3.20e-03 3.09e-04 0.01 rho:1.4e7 g/cm^3 - WD_Masses:0.9+0.76 - Kromer et al.(2016)                                                        
HESMA               sub-MCh-Double DET        2.82e-03 1.75e-01 5.17e-01 1.00 Check - Check - Sim et al.(2012)                                                                                   
HESMA               sub-MCh-Double DET        7.80e-02 9.22e-02 1.40e-02 1.00 8.5e6 - Check - Sim et al.(2012)                                                                                   
HESMA               sub-MCh-Double DET        2.13e-01 4.39e-02 5.92e-03 1.00 8.5e6 - Check - Sim et al.(2012)                                                                                   
HESMA               sub-MCh-Double DET        7.62e-03 1.28e-01 1.82e-01 1.00 3.81e6- Check - Sim et al.(2012)                                                                                   
HESMA               sub-MCh-Double DET        2.21e-02 2.56e-02 6.65e-02 1.00 3.81e6 - Check - Sim et al.(2012)                                                                                  
HESMA               sub-MCh-Double DET        6.55e-02 1.32e-01 1.85e-02 1.00 Check - Check - Sim et al.(2012)                                                                                   
HESMA               near-MCh-GCD              7.42e-01 2.48e-02 6.61e-03 1.00 rho:2.9e9 g/cm^3 - offset:200 km - Seitenzahl et al. (2016)                                                        
HESMA               near-MCh-DDT              6.03e-01 2.69e-02 2.11e-02 1.00 rho:2.9e9 g/cm^3 - N:100 - Ohlmann et al. (2014)                                                                   
HESMA               near-MCh-DDT              6.04e-01 3.11e-02 2.17e-02 1.00 rho: 2.9e9 g/cm^3 - N:100 - Seitenzahl et al.(2013b)                                                               
HESMA               near-MCh-DDT              1.04e+00 2.94e-02 6.66e-03 1.00 rho:2.9e9 g/cm^3 - N:3 - Seitenzahl et al.(2013b)                                                                  
HESMA               near-MCh-DDT              3.64e-01 3.99e-02 3.47e-02 1.00 rho:2.9e9 g/cm^3 - N:1600 - Seitenzahl et al.(2013b)                                                               
HESMA               near-MCh-DDT              7.01e-01 2.65e-02 1.79e-02 1.00 rho:2.9e9 g/cm^3 - N:100 - Ohlmann et al. (2014)                                                                   
HESMA               near-MCh-DDT              3.22e-01 3.91e-02 3.35e-02 1.00 rho:2.9e9 g/cm^3 - N:1600 - Seitenzahl et al.(2013b)                                                               
